PID;Year Built;Lot Frontage;Lot Area;Street;Alley;Lot Shape;Land Contour;Utilities;Lot Config;Land Slope;Neighborhood;Condition 1;Condition 2;Bldg Type;House Style;Overall Qual;Overall Cond;Year Remod/Add;1st Flr SF;2nd Flr SF;3Ssn Porch;Central Air;Enclosed Porch;Exter Cond;Exter Qual;Exterior 1st;Exterior 2nd;Fireplace Qu;Gr Liv Area;Heating QC;Kitchen AbvGr;Kitchen Qual;Low Qual Fin SF;MS SubClass;MS Zoning;Mas Vnr Area;Mas Vnr Type;Open Porch SF;Paved Drive;Roof Matl;Roof Style;Screen Porch;TotRms AbvGrd;Wood Deck SF;electrical;fence;fireplaces;foundation;functional;heating;Sale_Date;Sale Type;Sale Condition;saleprice;saleDate;Mo_Sold;Yr_Sold;Bsmt Full Bath;Bsmt Half Bath;Bedroom;Bsmt Unf SF;Bsmt Cond;Bsmt Half Bath_1;BsmtFin Type 1;BsmtFin Type 2;Total Bsmt SF;Bsmt Exposure;Bsmt Full Bath_1;Bsmt Qual;BsmtFin SF 2;BsmtFin SF 1;Garage Cond;Garage Type;Garage Yr Blt;Garage Cars;Garage Qual;Garage Finish;Garage Area;Misc Feature;Misc Val;Pool QC;Pool Area
526352080;1971;85;10667;Pave;NA  ;Regular             ;Lvl;AllPub;Inside ;Gtl;North Ames         ;Norm                          ;Normal;1Fam  ;1Story;6;6;1971;1587;0;0;Y;0;3;3;MetalSd;MetalSd;Gd;1587;3;1;3;0;20;6;302;BrkFace;44;Y;CompShg;Gable  ;0;7;0;SBrkr;NA   ;1;CBlock;Typ ;GasA ;1,17497E+12;WD   ;Normal ;167300;2007/03/27 00:00:00.000;3;2007;2;0;3;749;TA;0;BLQ;Unf;1587;No;0;TA;0;838;TA;Attchd;1971;2;TA;Unf;525;;;;
526352090;1970;85;10628;Pave;NA  ;Regular             ;Lvl;AllPub;Inside ;Gtl;North Ames         ;Norm                          ;Normal;1Fam  ;1Story;7;5;1970;1277;0;0;Y;0;2;3;Plywood;Plywood;Po;1277;3;1;3;0;20;6;0;None   ;0;Y;Tar&Grv;Flat   ;176;5;0;SBrkr;GdWo ;1;CBlock;Typ ;GasA ;1,17696E+12;WD   ;Normal ;167000;2007/04/19 00:00:00.000;4;2007;1;0;2;499;Gd;0;GLQ;Unf;1277;Gd;1;TA;0;778;TA;Attchd;1970;2;TA;Unf;526;;;;
526353030;1968;93;11160;Pave;NA  ;Regular             ;Lvl;AllPub;Corner ;Gtl;North Ames         ;Norm                          ;Normal;1Fam  ;1Story;7;5;1968;2110;0;0;Y;0;3;2;BrkFace;BrkFace;TA;2110;1;1;1;0;20;6;0;None   ;0;Y;CompShg;Hip    ;0;8;0;SBrkr;NA   ;2;CBlock;Typ ;GasA ;1,27113E+12;WD   ;Normal ;244000;2010/04/13 00:00:00.000;4;2010;2;1;3;1045;TA;0;ALQ;Unf;2110;No;1;TA;0;1065;TA;Attchd;1968;2;TA;Fin;522;;;;
526353050;1970;               ;12925;Pave;NA  ;Slightly irregular  ;Lvl;AllPub;Corner ;Gtl;North Ames         ;Norm                          ;Normal;1Fam  ;1Story;6;7;1970;2117;0;0;Y;0;3;3;BrkFace;Plywood;Gd;2117;1;1;3;0;20;6;0;None   ;42;Y;CompShg;Gable  ;0;7;0;SBrkr;NA   ;2;CBlock;Typ ;GasA ;1,21161E+12;WD   ;Normal ;237500;2008/05/24 00:00:00.000;5;2008;2;1;4;340;TA;0;BLQ;Unf;1205;Mn;0;TA;0;865;TA;Attchd;1970;2;TA;Fin;550;;;;
526354020;1969;90;11727;Pave;NA  ;Regular             ;Lvl;AllPub;Corner ;Gtl;North Ames         ;Norm                          ;Normal;1Fam  ;1Story;7;6;1969;1851;0;0;Y;0;2;3;HdBoard;HdBoard;TA;1851;2;1;3;0;20;6;434;BrkFace;146;Y;CompShg;Gable  ;0;8;0;SBrkr;NA   ;1;CBlock;Typ ;GasA ;1,14214E+12;WD   ;Normal ;192100;2006/03/12 00:00:00.000;3;2006;2;0;3;1851;TA;0;Unf;Unf;1851;Mn;0;TA;0;0;TA;Attchd;1969;2;TA;Fin;506;;;;
526354070;1969;85;11075;Pave;NA  ;Regular             ;Lvl;AllPub;Inside ;Gtl;North Ames         ;Norm                          ;Normal;1Fam  ;2Story;6;5;1969;1092;1020;0;Y;0;3;3;HdBoard;HdBoard;Gd;2112;3;1;3;0;60;6;0;None   ;0;Y;CompShg;Gable  ;0;9;280;SBrkr;NA   ;2;CBlock;Typ ;GasA ;1,21437E+12;WD   ;Normal ;206900;2008/06/25 00:00:00.000;6;2008;0;1;0;176;TA;0;ALQ;LwQ;952;Mn;0;Fa;276;500;TA;Attchd;1969;2;TA;Unf;576;;;;
526354070;1969;85;11075;Pave;NA  ;Regular             ;Lvl;AllPub;Inside ;Gtl;North Ames         ;Norm                          ;Normal;1Fam  ;2Story;6;5;1969;1092;1020;0;Y;0;3;3;HdBoard;HdBoard;Gd;2112;3;1;3;0;60;6;0;None   ;0;Y;CompShg;Gable  ;0;9;280;SBrkr;NA   ;2;CBlock;Typ ;GasA ;1,21437E+12;WD   ;Normal ;206900;2008/06/25 00:00:00.000;6;2008;2;0;4;176;TA;0;ALQ;LwQ;952;Mn;0;Fa;276;500;TA;Attchd;1969;2;TA;Unf;576;;;;
526355080;1972;75;13860;Pave;NA  ;Regular             ;Lvl;AllPub;Inside ;Gtl;North Ames         ;Norm                          ;Normal;1Fam  ;SLvl  ;8;7;1995;2000;704;0;Y;0;3;2;Plywood;Wd Sdng;TA;2704;2;1;1;0;80;6;0;None   ;111;Y;CompShg;Gable  ;0;9;269;SBrkr;MnPrv;3;CBlock;Typ ;GasA ;1,24798E+12;WD   ;Normal ;345000;2009/07/19 00:00:00.000;7;2009;1;1;1;542;TA;0;GLQ;Unf;1952;Gd;1;Gd;0;1410;TA;Attchd;1972;2;TA;Fin;538;;;;
526355080;1972;75;13860;Pave;NA  ;Regular             ;Lvl;AllPub;Inside ;Gtl;North Ames         ;Norm                          ;Normal;1Fam  ;SLvl  ;8;7;1995;2000;704;0;Y;0;3;2;Plywood;Wd Sdng;TA;2704;2;1;1;0;80;6;0;None   ;111;Y;CompShg;Gable  ;0;9;269;SBrkr;MnPrv;3;CBlock;Typ ;GasA ;1,24798E+12;WD   ;Normal ;345000;2009/07/19 00:00:00.000;7;2009;1;0;3;542;TA;0;GLQ;Unf;1952;Gd;1;Gd;0;1410;TA;Attchd;1972;2;TA;Fin;538;;;;
526355170;1973;95;13651;Pave;NA  ;Slightly irregular  ;Lvl;AllPub;Inside ;Gtl;North Ames         ;Norm                          ;Normal;1Fam  ;1Story;7;6;1973;2223;0;0;Y;0;2;3;Plywood;Plywood;Gd;2223;1;1;3;0;20;6;1115;BrkFace;0;Y;CompShg;Gable  ;0;8;300;SBrkr;NA   ;2;CBlock;Typ ;GasA ;1,17195E+12;WD   ;Normal ;244000;2007/02/20 00:00:00.000;2;2007;2;0;3;343;TA;0;ALQ;Unf;2223;Gd;1;Gd;0;1880;TA;Attchd;1973;2;TA;Fin;516;;;;
526355190;1970;95;15865;Pave;NA  ;Slightly irregular  ;Lvl;AllPub;Inside ;Mod;North Ames         ;Norm                          ;Normal;1Fam  ;1Story;8;6;1970;2217;0;0;Y;0;2;2;Wd Sdng;Wd Sdng;TA;2217;1;1;2;0;20;6;0;None   ;207;Y;Tar&Grv;Flat   ;224;8;81;SBrkr;NA   ;1;PConc ;Typ ;GasA ;1,19242E+12;WD   ;Normal ;268000;2007/10/15 00:00:00.000;10;2007;2;0;4;1043;Gd;0;ALQ;Rec;2217;Gd;1;TA;823;351;TA;Attchd;1970;2;TA;Unf;621;;;;
527105010;1997;74;13830;Pave;NA  ;Slightly irregular  ;Lvl;AllPub;Inside ;Gtl;Gilbert            ;Norm                          ;Normal;1Fam  ;2Story;5;5;1998;928;701;0;Y;0;3;3;VinylSd;VinylSd;TA;1629;2;1;3;0;60;6;0;None   ;34;Y;CompShg;Gable  ;0;6;212;SBrkr;MnPrv;1;PConc ;Typ ;GasA ;1,26872E+12;WD   ;Normal ;189900;2010/03/16 00:00:00.000;3;2010;0;1;1;137;TA;0;GLQ;Unf;928;No;0;Gd;0;791;TA;Attchd;1997;2;TA;Fin;482;;;;
527105010;1997;74;13830;Pave;NA  ;Slightly irregular  ;Lvl;AllPub;Inside ;Gtl;Gilbert            ;Norm                          ;Normal;1Fam  ;2Story;5;5;1998;928;701;0;Y;0;3;3;VinylSd;VinylSd;TA;1629;2;1;3;0;60;6;0;None   ;34;Y;CompShg;Gable  ;0;6;212;SBrkr;MnPrv;1;PConc ;Typ ;GasA ;1,26872E+12;WD   ;Normal ;189900;2010/03/16 00:00:00.000;3;2010;2;0;2;137;TA;0;GLQ;Unf;928;No;0;Gd;0;791;TA;Attchd;1997;2;TA;Fin;482;;;;
527105030;1998;78;9978;Pave;NA  ;Slightly irregular  ;Lvl;AllPub;Inside ;Gtl;Gilbert            ;Norm                          ;Normal;1Fam  ;2Story;6;6;1998;926;678;0;Y;0;3;3;VinylSd;VinylSd;Gd;1604;1;1;2;0;60;6;20;BrkFace;36;Y;CompShg;Gable  ;0;7;360;SBrkr;NA   ;1;PConc ;Typ ;GasA ;1,27727E+12;WD   ;Normal ;195500;2010/06/23 00:00:00.000;6;2010;0;1;1;324;TA;0;GLQ;Unf;926;No;0;TA;0;602;TA;Attchd;1998;2;TA;Fin;470;;;;
527105030;1998;78;9978;Pave;NA  ;Slightly irregular  ;Lvl;AllPub;Inside ;Gtl;Gilbert            ;Norm                          ;Normal;1Fam  ;2Story;6;6;1998;926;678;0;Y;0;3;3;VinylSd;VinylSd;Gd;1604;1;1;2;0;60;6;20;BrkFace;36;Y;CompShg;Gable  ;0;7;360;SBrkr;NA   ;1;PConc ;Typ ;GasA ;1,27727E+12;WD   ;Normal ;195500;2010/06/23 00:00:00.000;6;2010;2;0;2;324;TA;0;GLQ;Unf;926;No;0;TA;0;602;TA;Attchd;1998;2;TA;Fin;470;;;;
527105050;1997;72;8702;Pave;NA  ;Slightly irregular  ;Lvl;AllPub;Inside ;Gtl;Gilbert            ;Norm                          ;Normal;1Fam  ;2Story;6;5;1998;926;678;0;Y;0;3;3;VinylSd;VinylSd;TA;1604;1;1;3;0;60;6;0;None   ;36;Y;CompShg;Gable  ;0;7;0;SBrkr;NA   ;1;PConc ;Typ ;GasA ;1,20893E+12;WD   ;Normal ;187500;2008/04/23 00:00:00.000;4;2008;1;1;1;220;TA;0;BLQ;Unf;926;No;0;TA;0;706;TA;Attchd;1997;2;TA;Fin;470;;;;
527105050;1997;72;8702;Pave;NA  ;Slightly irregular  ;Lvl;AllPub;Inside ;Gtl;Gilbert            ;Norm                          ;Normal;1Fam  ;2Story;6;5;1998;926;678;0;Y;0;3;3;VinylSd;VinylSd;TA;1604;1;1;3;0;60;6;0;None   ;36;Y;CompShg;Gable  ;0;7;0;SBrkr;NA   ;1;PConc ;Typ ;GasA ;1,20893E+12;WD   ;Normal ;187500;2008/04/23 00:00:00.000;4;2008;1;0;2;220;TA;0;BLQ;Unf;926;No;0;TA;0;706;TA;Attchd;1997;2;TA;Fin;470;;;;
527105060;1997;60;8238;Pave;NA  ;Slightly irregular  ;Lvl;AllPub;Inside ;Gtl;Gilbert            ;Norm                          ;Normal;1Fam  ;2Story;6;5;1998;813;712;0;Y;0;3;3;VinylSd;VinylSd;TA;1525;1;1;3;0;60;6;0;None   ;72;Y;CompShg;Gable  ;0;6;421;SBrkr;NA   ;1;PConc ;Typ ;GasA ;1,14853E+12;WD   ;Normal ;183500;2006/05/25 00:00:00.000;5;2006;1;1;1;113;TA;0;GLQ;Unf;813;No;1;TA;0;700;TA;Attchd;1997;2;TA;Fin;400;;;;
527105060;1997;60;8238;Pave;NA  ;Slightly irregular  ;Lvl;AllPub;Inside ;Gtl;Gilbert            ;Norm                          ;Normal;1Fam  ;2Story;6;5;1998;813;712;0;Y;0;3;3;VinylSd;VinylSd;TA;1525;1;1;3;0;60;6;0;None   ;72;Y;CompShg;Gable  ;0;6;421;SBrkr;NA   ;1;PConc ;Typ ;GasA ;1,14853E+12;WD   ;Normal ;183500;2006/05/25 00:00:00.000;5;2006;1;0;2;113;TA;0;GLQ;Unf;813;No;1;TA;0;700;TA;Attchd;1997;2;TA;Fin;400;;;;
527105070;1997;88;10179;Pave;NA  ;Slightly irregular  ;Lvl;AllPub;Corner ;Gtl;Gilbert            ;Norm                          ;Normal;1Fam  ;2Story;6;5;1997;945;663;0;Y;0;3;3;VinylSd;VinylSd;TA;1608;1;1;3;0;60;6;0;None   ;30;Y;CompShg;Gable  ;0;7;252;SBrkr;NA   ;1;PConc ;Typ ;GasA ;1,24772E+12;WD   ;Normal ;189500;2009/07/16 00:00:00.000;7;2009;0;1;1;98;TA;0;ALQ;Unf;945;No;0;Gd;0;847;TA;Attchd;1997;2;TA;Fin;470;;;;
527105070;1997;88;10179;Pave;NA  ;Slightly irregular  ;Lvl;AllPub;Corner ;Gtl;Gilbert            ;Norm                          ;Normal;1Fam  ;2Story;6;5;1997;945;663;0;Y;0;3;3;VinylSd;VinylSd;TA;1608;1;1;3;0;60;6;0;None   ;30;Y;CompShg;Gable  ;0;7;252;SBrkr;NA   ;1;PConc ;Typ ;GasA ;1,24772E+12;WD   ;Normal ;189500;2009/07/16 00:00:00.000;7;2009;2;0;2;98;TA;0;ALQ;Unf;945;No;0;Gd;0;847;TA;Attchd;1997;2;TA;Fin;470;;;;
527105130;2003;               ;11792;Pave;NA  ;Slightly irregular  ;Lvl;AllPub;Inside ;Gtl;Gilbert            ;Norm                          ;Normal;1Fam  ;2Story;8;5;2003;1008;1275;0;Y;0;3;2;VinylSd;VinylSd;Gd;2283;1;1;2;0;60;6;188;BrkFace;46;Y;CompShg;Gable  ;0;9;120;SBrkr;NA   ;1;PConc ;Typ ;GasA ;1,25126E+12;WD   ;Normal ;270000;2009/08/26 00:00:00.000;8;2009;0;1;0;158;TA;0;GLQ;Unf;1008;Gd;0;Gd;0;850;TA;BuiltIn;2003;3;TA;Fin;632;;;;
527105130;2003;               ;11792;Pave;NA  ;Slightly irregular  ;Lvl;AllPub;Inside ;Gtl;Gilbert            ;Norm                          ;Normal;1Fam  ;2Story;8;5;2003;1008;1275;0;Y;0;3;2;VinylSd;VinylSd;Gd;2283;1;1;2;0;60;6;188;BrkFace;46;Y;CompShg;Gable  ;0;9;120;SBrkr;NA   ;1;PConc ;Typ ;GasA ;1,25126E+12;WD   ;Normal ;270000;2009/08/26 00:00:00.000;8;2009;2;0;4;158;TA;0;GLQ;Unf;1008;Gd;0;Gd;0;850;TA;BuiltIn;2003;3;TA;Fin;632;;;;
527105140;2003;               ;12394;Pave;NA  ;Slightly irregular  ;Lvl;AllPub;Corner ;Gtl;Gilbert            ;Norm                          ;Normal;1Fam  ;2Story;7;5;2003;847;886;0;Y;0;3;2;VinylSd;VinylSd;Gd;1733;1;1;2;0;60;6;0;None   ;48;Y;CompShg;Gable  ;0;7;100;SBrkr;NA   ;1;PConc ;Typ ;GasA ;1,1926E+12;WD   ;Family ;225000;2007/10/17 00:00:00.000;10;2007;1;1;1;847;TA;0;Unf;Unf;847;Gd;0;Gd;0;0;TA;BuiltIn;2003;2;TA;Fin;433;;;;
527105140;2003;               ;12394;Pave;NA  ;Slightly irregular  ;Lvl;AllPub;Corner ;Gtl;Gilbert            ;Norm                          ;Normal;1Fam  ;2Story;7;5;2003;847;886;0;Y;0;3;2;VinylSd;VinylSd;Gd;1733;1;1;2;0;60;6;0;None   ;48;Y;CompShg;Gable  ;0;7;100;SBrkr;NA   ;1;PConc ;Typ ;GasA ;1,1926E+12;WD   ;Family ;225000;2007/10/17 00:00:00.000;10;2007;1;0;2;847;TA;0;Unf;Unf;847;Gd;0;Gd;0;0;TA;BuiltIn;2003;2;TA;Fin;433;;;;
527106010;1997;               ;13006;Pave;NA  ;Slightly irregular  ;Lvl;AllPub;Corner ;Gtl;Gilbert            ;Norm                          ;Normal;1Fam  ;2Story;7;5;1997;993;1243;0;Y;0;3;3;HdBoard;HdBoard;TA;2236;2;1;2;0;60;6;285;BrkFace;0;Y;CompShg;Gable  ;0;8;0;SBrkr;NA   ;1;PConc ;Typ ;GasA ;1,16417E+12;WD   ;Normal ;222000;2006/11/22 00:00:00.000;11;2006;1;1;1;964;TA;0;Unf;Unf;964;No;0;Gd;0;0;TA;BuiltIn;1997;2;TA;Fin;642;;;;
527106010;1997;               ;13006;Pave;NA  ;Slightly irregular  ;Lvl;AllPub;Corner ;Gtl;Gilbert            ;Norm                          ;Normal;1Fam  ;2Story;7;5;1997;993;1243;0;Y;0;3;3;HdBoard;HdBoard;TA;2236;2;1;2;0;60;6;285;BrkFace;0;Y;CompShg;Gable  ;0;8;0;SBrkr;NA   ;1;PConc ;Typ ;GasA ;1,16417E+12;WD   ;Normal ;222000;2006/11/22 00:00:00.000;11;2006;1;0;3;964;TA;0;Unf;Unf;964;No;0;Gd;0;0;TA;BuiltIn;1997;2;TA;Fin;642;;;;
527106050;1995;65;8139;Pave;NA  ;Regular             ;Lvl;AllPub;Inside ;Gtl;Gilbert            ;Norm                          ;Normal;1Fam  ;2Story;6;5;1996;680;790;0;Y;0;3;3;VinylSd;VinylSd;TA;1470;2;1;3;0;60;6;119;BrkFace;49;Y;CompShg;Gable  ;0;7;192;SBrkr;NA   ;1;PConc ;Typ ;GasA ;1,22422E+12;WD   ;Normal ;165000;2008/10/17 00:00:00.000;10;2008;1;1;1;204;TA;0;ALQ;Unf;680;No;0;Gd;0;476;TA;BuiltIn;1995;2;TA;Fin;420;;;;
527106050;1995;65;8139;Pave;NA  ;Regular             ;Lvl;AllPub;Inside ;Gtl;Gilbert            ;Norm                          ;Normal;1Fam  ;2Story;6;5;1996;680;790;0;Y;0;3;3;VinylSd;VinylSd;TA;1470;2;1;3;0;60;6;119;BrkFace;49;Y;CompShg;Gable  ;0;7;192;SBrkr;NA   ;1;PConc ;Typ ;GasA ;1,22422E+12;WD   ;Normal ;165000;2008/10/17 00:00:00.000;10;2008;1;0;2;204;TA;0;ALQ;Unf;680;No;0;Gd;0;476;TA;BuiltIn;1995;2;TA;Fin;420;;;;
527106140;1998;59;9535;Pave;NA  ;Slightly irregular  ;Lvl;AllPub;Inside ;Gtl;Gilbert            ;Norm                          ;Normal;1Fam  ;2Story;6;5;1998;926;678;0;Y;0;3;3;VinylSd;VinylSd;NA;1604;1;1;3;0;60;6;0;None   ;82;Y;CompShg;Gable  ;0;7;100;SBrkr;NA   ;0;PConc ;Typ ;GasA ;1,21195E+12;WD   ;Normal ;195500;2008/05/28 00:00:00.000;5;2008;1;1;1;75;TA;0;GLQ;Unf;926;Gd;0;Gd;0;851;TA;Attchd;1998;2;TA;Fin;472;;;;
527106140;1998;59;9535;Pave;NA  ;Slightly irregular  ;Lvl;AllPub;Inside ;Gtl;Gilbert            ;Norm                          ;Normal;1Fam  ;2Story;6;5;1998;926;678;0;Y;0;3;3;VinylSd;VinylSd;NA;1604;1;1;3;0;60;6;0;None   ;82;Y;CompShg;Gable  ;0;7;100;SBrkr;NA   ;0;PConc ;Typ ;GasA ;1,21195E+12;WD   ;Normal ;195500;2008/05/28 00:00:00.000;5;2008;1;0;2;75;TA;0;GLQ;Unf;926;Gd;0;Gd;0;851;TA;Attchd;1998;2;TA;Fin;472;;;;
527106150;1998;59;9042;Pave;NA  ;Slightly irregular  ;Lvl;AllPub;Inside ;Gtl;Gilbert            ;Norm                          ;Normal;1Fam  ;2Story;6;5;1998;943;695;0;Y;0;3;3;VinylSd;VinylSd;TA;1638;2;1;3;0;60;6;0;None   ;38;Y;CompShg;Gable  ;0;7;100;SBrkr;NA   ;2;PConc ;Typ ;GasA ;1,21662E+12;WD   ;Normal ;192000;2008/07/21 00:00:00.000;7;2008;1;1;0;115;TA;0;GLQ;Unf;943;Gd;1;Gd;0;828;TA;Attchd;1998;2;TA;Fin;472;;;;
527106150;1998;59;9042;Pave;NA  ;Slightly irregular  ;Lvl;AllPub;Inside ;Gtl;Gilbert            ;Norm                          ;Normal;1Fam  ;2Story;6;5;1998;943;695;0;Y;0;3;3;VinylSd;VinylSd;TA;1638;2;1;3;0;60;6;0;None   ;38;Y;CompShg;Gable  ;0;7;100;SBrkr;NA   ;2;PConc ;Typ ;GasA ;1,21662E+12;WD   ;Normal ;192000;2008/07/21 00:00:00.000;7;2008;1;0;3;115;TA;0;GLQ;Unf;943;Gd;1;Gd;0;828;TA;Attchd;1998;2;TA;Fin;472;;;;
